           DATE       User_Name    Sample_Name
     05-26-2023        rvt5353       GaAs_1um
---------------------------------------------------------------------------------------------------------------------------------------------------
     Temperature   Initial_current   Final_current            Step
            300K       -0.20000mA        0.20000m000.000000             10
---------------------------------------------------------------------------------------------------------------------------------------------------
      Current[A]        Vab[V]         Vbc[V]          Vcd[V]          Vda[V]          Rab[Ohm]        Rbc[Ohm]        Rcd[Ohm]        Rda[Ohm]
     -2.000e-04      -2.336e-01      -1.400e-01      -1.257e-01      -2.116e-01       1.168e+03       7.002e+02       6.286e+02       1.058e+03
     -1.556e-04      -1.934e-01      -1.135e-01      -1.029e-01      -1.766e-01       1.243e+03       7.296e+02       6.614e+02       1.135e+03
     -1.111e-04      -1.467e-01      -8.360e-02      -7.730e-02      -1.358e-01       1.321e+03       7.524e+02       6.957e+02       1.222e+03
     -6.667e-05      -9.201e-02      -5.072e-02      -4.885e-02      -8.738e-02       1.380e+03       7.608e+02       7.327e+02       1.311e+03
     -2.222e-05      -3.093e-02      -1.664e-02      -1.713e-02      -3.108e-02       1.392e+03       7.490e+02       7.707e+02       1.399e+03
      2.222e-05       2.987e-02       1.594e-02       1.768e-02       3.217e-02       1.344e+03       7.174e+02       7.957e+02       1.448e+03
      6.667e-05       8.413e-02       4.510e-02       5.353e-02       9.590e-02       1.262e+03       6.765e+02       8.029e+02       1.438e+03
      1.111e-04       1.304e-01       7.105e-02       8.842e-02       1.533e-01       1.174e+03       6.394e+02       7.958e+02       1.380e+03
      1.556e-04       1.689e-01       9.433e-02       1.205e-01       2.026e-01       1.086e+03       6.064e+02       7.750e+02       1.303e+03
      2.000e-04       2.011e-01       1.153e-01       1.497e-01       2.448e-01       1.005e+03       5.767e+02       7.485e+02       1.224e+03
===================================================================================================================================================

