           DATE       User_Name    Sample_Name
     05-26-2023        rvt5353       GaAs_1um
---------------------------------------------------------------------------------------------------------------------------------------------------
     Temperature   Initial_current   Final_current            Step
            300K      -10.00000mA       10.00000m000.000000             10
---------------------------------------------------------------------------------------------------------------------------------------------------
      Current[A]        Vab[V]         Vbc[V]          Vcd[V]          Vda[V]          Rab[Ohm]        Rbc[Ohm]        Rcd[Ohm]        Rda[Ohm]
     -1.000e-02      -1.314e+00      -1.502e+00      -1.261e+00      -1.097e+00       1.314e+02       1.502e+02       1.261e+02       1.097e+02
     -7.778e-03      -1.192e+00      -1.372e+00      -1.145e+00      -9.922e-01       1.533e+02       1.765e+02       1.472e+02       1.276e+02
     -5.556e-03      -1.056e+00      -1.217e+00      -1.009e+00      -8.716e-01       1.901e+02       2.191e+02       1.815e+02       1.569e+02
     -3.333e-03      -8.826e-01      -1.018e+00      -8.381e-01      -7.188e-01       2.648e+02       3.054e+02       2.514e+02       2.156e+02
     -1.111e-03      -5.922e-01      -6.857e-01      -5.580e-01      -4.687e-01       2.648e+02       3.054e+02       2.514e+02       2.156e+02
      1.111e-03       6.919e-01       6.200e-01       4.664e-01       5.453e-01       2.648e+02       3.054e+02       2.514e+02       2.156e+02
      3.333e-03       1.027e+00       8.965e-01       7.162e-01       8.372e-01       3.082e+02       2.690e+02       2.149e+02       2.512e+02
      5.556e-03       1.228e+00       1.063e+00       8.717e-01       1.010e+00       2.211e+02       1.914e+02       1.569e+02       1.819e+02
      7.778e-03       1.386e+00       1.197e+00       9.951e-01       1.147e+00       1.781e+02       1.539e+02       1.279e+02       1.475e+02
      1.000e-02       1.521e+00       1.313e+00       1.104e+00       1.265e+00       1.521e+02       1.313e+02       1.104e+02       1.265e+02
===================================================================================================================================================

